id_cliente;nome_cliente;email_cliente;genero;idade;segmento;cidade;estado;regiao;renda_estimada
1;  MARCOS  souza ;marcos.souza1@exemplo.com.br;M;26;Consumidor Final;Londrina;PR;Sul;14204.48
2;Eduardo Andrade;eduardo.andrade2@exemplo.com.br;F;19;Consumidor Final;Santos;SP;Sudeste;3727.23
3;Fernanda Soares;fernanda.soares3@exemplo.com.br;M;59;Pequenas Empresas;Brasília;DF;Centro-Oeste;13631.6
4;Pedro Pereira;pedro.pereira4@exemplo.com.br;M;62;Consumidor Final;Londrina;PR;Sul;9088.61
5;Beatriz Rodrigues;beatriz.rodrigues5@exemplo.com.br;M;42;Consumidor Final;Caxias do Sul;RS;Sul;3776.48
6;Vanessa Ribeiro;vanessa.ribeiro6@exemplo.com.br;F;25;Pequenas Empresas;Campinas;SP;Sudeste;18061.79
7;Thiago Oliveira;thiago.oliveira7@exemplo.com.br;M;22;Pequenas Empresas;Florianópolis;SC;Sul;2946.94
8;Fernanda Moreira;fernanda.moreira8@exemplo.com.br;M;42;Consumidor Final;Santos;SP;Sudeste;6730.97
9;Marcos Marques;marcos.marques9@exemplo.com.br;F;60;Consumidor Final;Florianópolis;SC;Sul;6551.74
10;Priscila Dias;priscila.dias10@exemplo.com.br;M;47;Consumidor Final;Belo Horizonte;MG;Sudeste;8385.12
11;Priscila Rocha;priscila.rocha11@exemplo.com.br;F;32;Consumidor Final;Curitiba;PR;Sul;15595.38
12;Renata Costa;renata.costa12@exemplo.com.br;M;63;Pequenas Empresas;Santos;SP;Sudeste;7329.25
13;Marcos Lopes;marcos.lopes13@exemplo.com.br;M;26;Corporativo;Feira de Santana;BA;Nordeste;6220.03
14;Patricia Fernandes;patricia.fernandes14@exemplo.com.br;F;43;Pequenas Empresas;Goiânia;GO;Centro-Oeste;8100.54
15;Juliana Soares;juliana.soares15@exemplo.com.br;M;58;Consumidor Final;Campinas;SP;Sudeste;4807.71
16;Eduardo Carvalho;eduardo.carvalho16@exemplo.com.br;F;47;Pequenas Empresas;Joinville;SC;Sul;10824.56
17;Patricia Machado;patricia.machado17@exemplo.com.br;F;39;Pequenas Empresas;Rio de Janeiro;RJ;Sudeste;4018.3
18;Pedro Ferreira;pedro.ferreira18@exemplo.com.br;M;24;Pequenas Empresas;Londrina;PR;Sul;16389.45
19;Larissa Marques;larissa.marques19@exemplo.com.br;M;66;Corporativo;Uberlândia;MG;Sudeste;4833.25
20;Vinicius Freitas;vinicius.freitas20@exemplo.com.br;F;19;Corporativo;São Paulo;SP;Sudeste;4023.44
21;Gustavo Mendes;gustavo.mendes21@exemplo.com.br;M;33;Consumidor Final;Porto Alegre;RS;Sul;16511.56
22;Mateus Oliveira;mateus.oliveira22@exemplo.com.br;M;60;Consumidor Final;Santos;SP;Sudeste;9947.1
23;Patricia Ferreira;patricia.ferreira23@exemplo.com.br;M;66;Pequenas Empresas;Salvador;BA;Nordeste;14097.88
24;Camila Nascimento;camila.nascimento24@exemplo.com.br;F;46;Pequenas Empresas;Florianópolis;SC;Sul;4172.37
25;Fernanda Oliveira;fernanda.oliveira25@exemplo.com.br;M;32;Pequenas Empresas;Goiânia;GO;Centro-Oeste;2317.21
26;diego rocha;diego.rocha26@exemplo.com.br;M;22;Corporativo;Santos;SP;Sudeste;10580.74
27;Beatriz Dias;beatriz.dias27@exemplo.com.br;M;54;Pequenas Empresas;Brasília;DF;Centro-Oeste;11592.25
28;Fernanda Nunes;fernanda.nunes28@exemplo.com.br;M;24;Consumidor Final;Salvador;BA;Nordeste;12941.42
29;Gustavo Carvalho;gustavo.carvalho29@exemplo.com.br;M;43;Consumidor Final;Campinas;SP;Sudeste;14069.88
30;Renata Machado;renata.machado30@exemplo.com.br;M;46;Pequenas Empresas;Uberlândia;MG;Sudeste;4484.97
31;Mariana Lima;mariana.lima31@exemplo.com.br;F;24;Pequenas Empresas;Santos;SP;Sudeste;3024.59
32;  PATRICIA  marques ;patricia.marques32@exemplo.com.br;M;44;Consumidor Final;Santos;SP;Sudeste;10115.95
33;Camila Machado;camila.machado33@exemplo.com.br;M;18;Corporativo;Campinas;SP;Sudeste;18260.53
34;Beatriz Freitas;beatriz.freitas34@exemplo.com.br;F;62;Corporativo;Feira de Santana;BA;Nordeste;17804.28
35;Renata Fernandes;renata.fernandes35@exemplo.com.br;M;36;Consumidor Final;Recife;PE;Nordeste;5748.52
36;Gabriel Vieira;gabriel.vieira36@exemplo.com.br;F;21;Consumidor Final;Campinas;SP;Sudeste;11722.09
37;Carla Freitas;carla.freitas37@exemplo.com.br;M;23;Pequenas Empresas;Belo Horizonte;MG;Sudeste;16076.88
